Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	HTSeq Count_mqc-generalstats-htseq_count-percent_assigned	HTSeq Count_mqc-generalstats-htseq_count-assigned	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-summed_mean	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
ERR315374_2	44.153778964821235	49.0	101.0	25.0	15241666.0																												
ERR315374_R1						5.12167835793601																											
ERR315374_R1_val.star							92.28	13744830.0																									
ERR315374_R2						7.51688304887925																											
ERR315374_STAR.srt									89.9956237280467	23797181																							
ERR315377_1	45.234397586013884	49.0	101.0	25.0	15022448.0																												
ERR315377_2	44.365814963831895	49.0	101.0	25.0	15022448.0																												
ERR315377_R1						5.100545477536071																											
ERR315377_R1_val.star							92.28	13552418.0																									
ERR315377_R2						7.453573399746912																											
ERR315377_STAR.srt									90.00537746376429	23454279																							
ERR315386_1	30.273496416341132	48.0	101.0	25.0	7492575.0																												
ERR315386_2	28.566964413648364	48.0	101.0	25.0	7492575.0																												
ERR315386_R1						10.170267905160102																											
ERR315386_R1_val.star							90.56	6532052.0																									
ERR315386_R2						13.548505429616245																											
ERR315386_STAR.srt									86.02324906689547	10010030																							
ERR315394_1	51.20529912558287	48.0	101.0	25.0	6095986.0																												
ERR315394_2	50.144616795274594	48.0	101.0	25.0	6095986.0																												
ERR315394_R1						5.529108225746198																											
ERR315394_R1_val.star							93.65	5648708.0																									
ERR315394_R2						6.913116010411045																											
ERR315394_STAR.srt									90.79750891499054	9910332																							
ERR315399_1	41.43451130239683	49.0	101.0	16.666666666666664	16101325.0																												
ERR315399_2	40.40120883524344	49.0	101.0	16.666666666666664	16101325.0																												
ERR315399_R1						3.9267140443349224																											
ERR315399_R1_val.star							92.46	14557542.0																									
ERR315399_R2						7.008121356718183																											
ERR315399_STAR.srt									88.26187374466056	24789695																							
ERR315414_1	61.045696588518865	47.0	101.0	33.33333333333333	22811186.0																												
ERR315414_2	58.421814902721934	47.0	101.0	33.33333333333333	22811186.0																												
ERR315414_R1						11.999400445270341																											
ERR315414_R1_val.star							93.33	20944329.0																									
ERR315414_R2						13.210684147125306																											
ERR315414_STAR.srt									90.5964501251061	37301685																							
ERR315424_1	36.5441967284195	50.0	101.0	33.33333333333333	8761137.0																												
ERR315424_2	28.22450500862874	50.0	101.0	33.33333333333333	8761137.0																												
ERR315424_R1						9.205287640019082																											
ERR315424_R1_val.star							88.43	7157995.0																									
ERR315424_R2						17.37704515604844																											
ERR315424_STAR.srt									88.62624990872978	11676652																							
ERR315432_1	39.05719221315004	48.0	101.0	33.33333333333333	17585264.0																												
ERR315432_2	35.34858377462433	48.0	101.0	33.33333333333333	17585264.0																												
ERR315432_R1						9.463526613042951																											
ERR315432_R1_val.star							94.33	16073486.0																									
ERR315432_R2						12.447082155978679																											
ERR315432_STAR.srt									90.09886544815397	27727979																							
ERR315433_1	31.61958150614859	48.0	101.0	25.0	8736265.0																												
ERR315433_2	29.310935755651172	48.0	101.0	25.0	8736265.0																												
ERR315433_R1						7.5785912158249324																											
ERR315433_R1_val.star							88.86	7413438.0																									
ERR315433_R2						12.359660824989595																											
ERR315433_STAR.srt									84.29615802498766	11464001																							
ERR315438_1	30.61705220219912	48.0	101.0	25.0	7526336.0																												
ERR315438_2	28.513425292146295	48.0	101.0	25.0	7526336.0																												
ERR315438_R1						10.225377360587444																											
ERR315438_R1_val.star							90.58	6546891.0																									
ERR315438_R2						13.87713019382279																											
ERR315438_STAR.srt									85.98978991168809	10032673																							
ERR315439_1	56.62857753818613	48.0	101.0	50.0	6280429.0																												
ERR315439_2	53.44589037852046	48.0	101.0	41.66666666666667	6280429.0																												
ERR315439_R1						2.837822948807232																											
ERR315439_R1_val.star							57.32	3430888.0																									
ERR315439_R2						7.214470272147282																											
ERR315439_STAR.srt									88.05511993587784	5917017																							
ERR315444_1	56.66912525287949	48.0	101.0	41.66666666666667	6387998.0																												
ERR315444_2	53.30265388268184	48.0	101.0	41.66666666666667	6387998.0																												
ERR315444_R1						2.909584474193667																											
ERR315444_R1_val.star							57.37	3486834.0																									
ERR315444_R2						7.473241457675553																											
ERR315444_STAR.srt									88.06594233428565	6013700																							
ERR315451_1	58.71473268616564	48.0	101.0	25.0	15108148.0																												
ERR315451_2	57.36470811388663	48.0	101.0	25.0	15108148.0																												
ERR315451_R1						6.070792245533488																											
ERR315451_R1_val.star							92.51	13777705.0																									
ERR315451_R2						7.601173581668948																											
ERR315451_STAR.srt									90.08440098157602	24209581																							
ERR315455_1	41.551254882279935	47.0	101.0	25.0	24323755.0																												
ERR315455_2	41.9061229830036	47.0	101.0	33.33333333333333	24323755.0																												
ERR315455_R1						6.022884270382538																											
ERR315455_R1_val.star							92.89	22012268.0																									
ERR315455_R2						8.52757705582485																											
ERR315455_STAR.srt									87.86375353650551	36927750																							
ERR315463_1	58.72871280166114	48.0	101.0	25.0	15370846.0																												
ERR315463_2	57.21617223786761	48.0	101.0	25.0	15370846.0																												
ERR315463_R1						6.189904595819235																											
ERR315463_R1_val.star							92.54	14019662.0																									
ERR315463_R2						7.624282378278313																											
ERR315463_STAR.srt									90.10679267080833	24644971																							
ERR315476_1	41.4306219732251	48.0	101.0	25.0	14649029.0																												
ERR315476_2	40.54971588184232	48.0	101.0	25.0	14649029.0																												
ERR315476_R1						5.5021066448827565																											
ERR315476_R1_val.star							92.26	13244543.0																									
ERR315476_R2						7.97621662929818																											
ERR315476_STAR.srt									88.11537268145476	22244517																							
ERR315477_1	40.304891770588455	47.0	101.0	25.0	28466648.0																												
ERR315477_2	40.19552729720589	47.0	101.0	33.33333333333333	28466648.0																												
ERR315477_R1						6.474072242139798																											
ERR315477_R1_val.star							92.86	25682487.0																									
ERR315477_R2						8.974424775586817																											
ERR315477_STAR.srt									85.33483609022926	41703288																							
ERR315478_1	41.89431280900449	48.0	101.0	25.0	14906214.0																												
ERR315478_2	40.595334933632145	48.0	101.0	25.0	14906214.0																												
ERR315478_R1						5.5208719672145445																											
ERR315478_R1_val.star							92.27	13469938.0																									
ERR315478_R2						8.060918635531584																											
ERR315478_STAR.srt									88.09052146820494	22629360																							
ERR315487_1	47.039150763419634	49.0	101.0	25.0	13669047.0																												
ERR315487_2	44.64541715339111	49.0	101.0	33.33333333333333	13669047.0																												
ERR315487_R1						8.45942437003331																											
ERR315487_R1_val.star							89.71	11725198.0																									
ERR315487_R2						13.355000223685987																											
ERR315487_STAR.srt									89.89012444663844	20059366																							
ERR315490_1	34.08860094098898	47.0	101.0	25.0	7445571.0																												
ERR315490_2	31.754326364327284	47.0	101.0	16.666666666666664	7445571.0																												
ERR315490_R1						2.8428256739529587																											
ERR315490_R1_val.star							88.34	6353898.0																									
ERR315490_R2						6.075080815770134																											
ERR315490_STAR.srt									88.81543585767788	11100766																							
ERR315495_1	40.010027590287045	47.0	101.0	16.666666666666664	13084530.0																												
ERR315495_2	37.92521771724113	47.0	101.0	16.666666666666664	13084530.0																												
ERR315495_R1						2.2860802901299366																											
ERR315495_R1_val.star							88.51	11249222.0																									
ERR315495_R2						5.368339104225061																											
ERR315495_STAR.srt									88.60336478914616	19701146																							
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1	58.64179475168419	50.0	101.0	25.0	51945229.0	5.196455278037962																											
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1_val.star							90.41	45633473.0																									
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1_val_1	58.22762001081135	50.0	97.09390732685343	25.0	50471557.0						167.862	87.3716021877431	44097808.0																				
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2	58.36621700667563	50.0	101.0	33.33333333333333	51945229.0	7.348763025336201																											
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2_val_2	50.120520289311365	50.0	94.72654572554598	25.0	50471557.0																												
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1	56.66706322737964	51.0	101.0	25.0	33950855.0	5.031095828087246																											
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1_val.star							90.23	29684848.0																									
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1_val_1	56.50084345905038	51.0	97.44945264173379	25.0	32899019.0						169.256	85.27879205151983	28055886.0																				
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2	55.767289155158366	51.0	101.0	41.66666666666667	33950855.0	7.344786200145142																											
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2_val_2	48.99243244309912	51.0	95.00062874215186	16.666666666666664	32899019.0																												
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1	60.72370909940734	50.0	101.0	25.0	69462070.0	5.010978204534953																											
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1_val.star							89.35	60234348.0																									
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1_val_1	60.61480991984997	50.0	97.36641502531069	25.0	67414992.0						165.296	86.18058873314114	58098637.0																				
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2	60.14102814904543	51.0	101.0	33.33333333333333	69462070.0	7.161984865400727																											
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2_val_2	52.26615288845619	50.0	95.00476140381356	25.0	67414992.0																												
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1	59.496987854847745	50.0	101.0	25.0	60339006.0	5.880883098970165																											
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1_val.star							88.62	51415239.0																									
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1_val_1	59.226364986990795	50.0	97.04535560652728	25.0	58016047.0						167.866	83.65114569077758	48531088.0																				
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2	58.714867821500896	51.0	101.0	50.0	60339006.0	31.038195169381073																											
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2_val_2	34.114859086003335	50.0	71.02637992554025	25.0	58016047.0																												
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1	58.87706448647779	50.0	101.0	25.0	74203167.0	7.7267901650356645																											
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1_val.star							89.85	63034319.0																									
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R1_val_1	58.696541892705476	50.0	96.52002106891997	25.0	70152623.0						169.418	84.50278473550448	59280920.0																				
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2	57.87511214993995	51.0	101.0	50.0	74203167.0	32.18485266309055																											
HS002-PE-R00059_BD0U5YACXX.RHM067_CAGATC_L002_R2_val_2	33.54381358917668	50.0	70.77058877755718	33.33333333333333	70152623.0																												
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1	57.487947083579485	50.0	101.0	25.0	60201088.0	6.441744075791421																											
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1_val.star							91.46	52630118.0																									
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R1_val_1	57.09442297026614	50.0	96.89631970081147	25.0	57544452.0						179.79	84.52640230199778	48640255.0																				
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2	56.350746750991576	51.0	101.0	50.0	60201088.0	31.51105692460391																											
HS002-PE-R00059_BD0U5YACXX.RHM068_GTGAAA_L002_R2_val_2	31.272021442611347	50.0	70.8505574438349	33.33333333333333	57544452.0																												
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1	61.593851432986355	51.0	101.0	25.0	55208970.0	4.5422615058372005																											
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1_val.star							88.51	47356060.0																									
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R1_val_1	61.609013417820094	51.0	97.80098584552597	25.0	53502094.0						173.161	85.39475856776745	45687984.0																				
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2	60.97785426789202	51.0	101.0	25.0	55208970.0	4.698969431529652																											
HS002-PE-R00059_BD0U5YACXX.RHM069_CGATGT_L003_R2_val_2	61.35217165477383	51.0	97.58918807925536	25.0	53502094.0																												
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1	59.67684938648713	51.0	101.0	25.0	45049673.0	5.169916318903367																											
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1_val.star							89.05	38658933.0																									
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R1_val_1	59.676600774429	51.0	97.58333600355321	25.0	43410907.0						177.99	85.76089414579613	37229582.0																				
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2	58.91495621283959	51.0	101.0	33.33333333333333	45049673.0	5.466282510063068																											
HS002-PE-R00059_BD0U5YACXX.RHM070_CAGATC_L003_R2_val_2	59.38135836103021	51.0	97.3328970528075	25.0	43410907.0																												
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1	55.30122963127697	50.0	101.0	25.0	53650335.0	4.629117007709677																											
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1_val.star							87.52	45500859.0																									
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R1_val_1	55.12557254661429	50.0	97.70544885396859	25.0	51990896.0						173.473	80.00627840689647	41595981.0																				
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2	54.73729737063553	50.0	101.0	25.0	53650335.0	4.756904422713934																											
HS002-PE-R00059_BD0U5YACXX.RHM071_GTGAAA_L003_R2_val_2	54.91009021945299	50.0	97.52704473490897	25.0	51990896.0																												
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1	55.94793043850708	50.0	101.0	25.0	64341577.0	5.550288545488746																											
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1_val.star							91.19	56465472.0																									
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R1_val_1	55.639036314870054	49.0	97.33328945853275	25.0	61918610.0						172.698	81.00567180044901	50157586.0																				
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2	55.05051631282418	50.0	101.0	25.0	64341577.0	5.683849151253819																											
HS002-PE-R00059_BD0U5YACXX.RHM072_CGATGT_L004_R2_val_2	55.1996075246883	49.0	97.1228420663836	25.0	61918610.0																												
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1	49.351666002176486	49.0	101.0	16.666666666666664	44940444.0	5.685696446885955																											
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1_val.star							93.41	40379172.0																									
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R1_val_1	49.10367774455797	49.0	97.22188292100876	16.666666666666664	43226423.0						167.774	82.95957312961103	35860456.0																				
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2	48.802346649445816	49.0	101.0	16.666666666666664	44940444.0	5.7905821463016105																											
HS002-PE-R00059_BD0U5YACXX.RHM073_CAGATC_L004_R2_val_2	49.03560125115229	49.0	97.05841896749125	16.666666666666664	43226423.0																												
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1	55.16053608545353	49.0	101.0	25.0	73535954.0	5.5325726773190445																											
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1_val.star							93.95	66458751.0																									
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R1_val_1	54.96350675250643	49.0	97.36115509779312	25.0	70739846.0						175.734	83.40621917667166	59001431.0																				
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2	54.353428843839694	49.0	101.0	25.0	73535954.0	5.650879215620239																											
HS002-PE-R00059_BD0U5YACXX.RHM074_GTGAAA_L004_R2_val_2	54.56159213451212	49.0	97.11679202694334	25.0	70739846.0																												
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1	56.29562412505482	50.0	101.0	25.0	62889838.0	4.288767638107098																											
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1_val.star							89.06	54372508.0																									
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R1_val_1	56.17209538914993	50.0	97.91188720736484	25.0	61051362.0						165.346	81.25686860188311	49608425.0																				
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2	55.758168558178326	50.0	101.0	25.0	62889838.0	4.48077350432959																											
HS002-PE-R00059_BD0U5YACXX.RHM075_CGATGT_L005_R2_val_2	55.95832716693614	50.0	97.71117578015705	25.0	61051362.0																												
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1	49.18853752168164	50.0	101.0	25.0	36185523.0	6.117254829964311																											
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1_val.star							92.3	31847927.0																									
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R1_val_1	48.24349197672318	50.0	97.6868491566084	16.666666666666664	34503308.0						169.568	84.71151809559827	29228276.0																				
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2	48.45792077069097	50.0	101.0	25.0	36185523.0	6.375953167790334																											
HS002-PE-R00059_BD0U5YACXX.RHM076_CAGATC_L005_R2_val_2	48.13024805558824	50.0	97.45790241329904	16.666666666666664	34503308.0																												
KMABT2														93.48																			
RHM063_CGATGT_L001_STAR.srt									87.09450264968586	78027519					100.0	91141247.0	91141247.0	0.0	0.77	45507774.0													
RHM063_CGATGT_L001_STAR.srt_stats																					50.58748247654598	171	7.776585873714113	2.7503283365330597	1.839275139171265	0.9848860517000995	0.707876251144364	0	0.0				
RHM063_multistar.nsrtd																														169	231.742982		
RHM064_CAGATC_L001_STAR.srt									86.48054535453524	50442881					100.0	59292747.0	59292747.0	0.0	0.9	29607899.0													
RHM064_CAGATC_L001_STAR.srt_stats																					51.003467100042585	176	6.481715456674706	2.206449634267583	1.4443512747249247	0.7066369554628622	0.4685442708718517	0	0.0				
RHM064_multistar.nsrtd																														169	242.62333		
RHM065_GTGAAA_L001_STAR.srt									85.15460922449563	101016945					100.0	120312738.0	120312738.0	0.0	0.75	60078390.0													
RHM065_GTGAAA_L001_STAR.srt_stats																					50.4971571542428	166	9.549509589023378	3.4751562538127434	2.3001590453851173	1.2218030033672385	0.8853654243708209	0	0.0				
RHM065_multistar.nsrtd																														164	221.357194		
RHM066_CGATGT_L002_STAR.srt									85.30211660213945	86698032					100.0	102697300.0	102697300.0	0.0	0.99	51282061.0													
RHM066_CGATGT_L002_STAR.srt_stats																					49.90603419591995	168	9.118409287066637	2.970892497868432	1.9375325740716494	0.9961939407575042	0.6989702118628084	0	0.0				
RHM066_multistar.nsrtd																														164	218.195902		
RHM067_CAGATC_L002_STAR.srt									84.7355358969417	105660796					100.0	125867831.0	125867831.0	0.0	0.95	62833512.0													
RHM067_CAGATC_L002_STAR.srt_stats																					50.286622631544034	167	10.079560882021966	3.442136485967708	2.2535955531023304	1.169741122076715	0.8313656399123587	0	0.0				
RHM067_multistar.nsrtd																														165	217.832135		
RHM068_GTGAAA_L002_STAR.srt									84.90301057333241	88370953					100.0	105101977.0	105101977.0	0.0	1.05	52471859.0													
RHM068_GTGAAA_L002_STAR.srt_stats																					50.72004743074813	184	9.453032915129558	3.0147791334978584	1.967844950530545	1.0207760844263745	0.725433981535704	0	0.0				
RHM068_multistar.nsrtd																														178	248.33909000000003		
RHM069_CGATGT_L003_STAR.srt									86.05708981157416	80387536					100.0	94594229.0	94594229.0	0.0	0.87	47238169.0													
RHM069_CGATGT_L003_STAR.srt_stats																					50.63635575074838	176	8.23999127534286	2.893423322754838	1.9006668222543521	0.9825451742485589	0.6922782807021142	0	0.0				
RHM069_multistar.nsrtd																														172	247.37500099999997		
RHM070_CAGATC_L003_STAR.srt									86.8158316866691	66230560					100.0	77211811.0	77211811.0	0.0	0.88	38552878.0													
RHM070_CAGATC_L003_STAR.srt_stats																					51.146610358666166	185	7.072834822873671	2.4671957230174004	1.633975300466312	0.8366526819414635	0.5754461112883034	0	0.0				
RHM070_multistar.nsrtd																														176	262.203285		
RHM071_GTGAAA_L003_STAR.srt									83.87171355540103	75059399					100.0	90877590.0	90877590.0	0.0	0.85	45376731.0													
RHM071_GTGAAA_L003_STAR.srt_stats																					50.23369873469169	174	10.078735990911097	3.3713719675185008	2.1989178846240045	1.1441125728675576	0.8101529052453966	0	0.0				
RHM071_multistar.nsrtd																														166	208.411156		
RHM072_CGATGT_L004_STAR.srt									83.61376727935898	93048264					100.0	112746052.0	112746052.0	0.0	0.86	56280580.0													
RHM072_CGATGT_L004_STAR.srt_stats																					50.11238158694189	172	10.773531363291458	3.7297022375484015	2.435463497674483	1.2747834199332084	0.9184464883443302	0	0.0				
RHM072_multistar.nsrtd																														166	208.411156		
RHM073_CAGATC_L004_STAR.srt									83.70168410443875	66417740					100.0	80635717.0	80635717.0	0.0	0.85	40256545.0													
RHM073_CAGATC_L004_STAR.srt_stats																					49.951252764139284	166	9.414269152817475	3.2901254225352528	2.148943439264913	1.1031662409603054	0.7663417807472966	0	0.0				
RHM073_multistar.nsrtd																														165	206.66260699999998		
RHM074_GTGAAA_L004_STAR.srt									82.8750285929268	108738791					100.0	132708535.0	132708535.0	0.0	0.86	66249784.0													
RHM074_GTGAAA_L004_STAR.srt_stats																					49.844320285590456	174	11.74912423545008	4.3361663917128395	2.8619458341486896	1.4984012164485776	1.0921976015267891	0	0.0				
RHM074_multistar.nsrtd																														171	224.462236		
RHM075_CGATGT_L005_STAR.srt									83.52263878213957	89446730					100.0	108600736.0	108600736.0	0.0	0.81	54228228.0													
RHM075_CGATGT_L005_STAR.srt_stats																					50.02068878206705	164	10.802765050934795	3.78466579272419	2.476660680668522	1.2927220087836666	0.9270647304838486	0	0.0				
RHM075_multistar.nsrtd																														163	203.161076		
RHM076_CAGATC_L005_STAR.srt									84.67305663444756	52891731					100.0	63604584.0	63604584.0	0.0	0.78	31756657.0													
RHM076_CAGATC_L005_STAR.srt_stats																					50.635611302741175	168	7.7352782734997385	2.745869779841057	1.817885154104268	0.9314914572264116	0.6356120984648276	0	0.0				
RHM076_multistar.nsrtd																														167	213.980086		
bt.all														91.83																			
quants_RHM063																																86.846403410935	43832732
quants_RHM064																																85.49049441261455	28125534
