Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
ERR315414_2	ERR315414_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22811186.0	0.0	101.0	47.0	41.578185097278066	101.0	pass	fail	pass	pass	fail	warn	pass	pass	fail	pass	pass	fail
ERR315424_1	ERR315424_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8761137.0	0.0	101.0	50.0	63.4558032715805	101.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	fail	fail	fail
ERR315424_2	ERR315424_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8761137.0	0.0	101.0	50.0	71.77549499137126	101.0	pass	warn	fail	pass	fail	pass	warn	pass	pass	pass	fail	fail
ERR315432_1	ERR315432_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17585264.0	0.0	101.0	48.0	60.94280778684996	101.0	pass	fail	fail	pass	fail	pass	warn	pass	warn	warn	warn	fail
ERR315432_2	ERR315432_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17585264.0	0.0	101.0	48.0	64.65141622537567	101.0	pass	fail	fail	pass	fail	pass	pass	pass	warn	pass	warn	fail
ERR315433_1	ERR315433_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8736265.0	0.0	101.0	48.0	68.38041849385141	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail	fail
ERR315433_2	ERR315433_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8736265.0	0.0	101.0	48.0	70.68906424434883	101.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	fail	fail
ERR315438_1	ERR315438_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7526336.0	0.0	101.0	48.0	69.38294779780088	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail	fail
ERR315438_2	ERR315438_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7526336.0	0.0	101.0	48.0	71.4865747078537	101.0	pass	pass	pass	pass	fail	pass	pass	pass	pass	pass	fail	fail
ERR315439_1	ERR315439_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6280429.0	0.0	101.0	48.0	43.37142246181387	101.0	pass	pass	fail	pass	fail	fail	warn	pass	fail	fail	pass	fail
ERR315439_2	ERR315439_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6280429.0	0.0	101.0	48.0	46.55410962147954	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
ERR315444_1	ERR315444_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6387998.0	0.0	101.0	48.0	43.33087474712051	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass	fail
ERR315444_2	ERR315444_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6387998.0	0.0	101.0	48.0	46.69734611731816	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	pass	fail
ERR315451_1	ERR315451_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15108148.0	0.0	101.0	48.0	41.28526731383436	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
ERR315451_2	ERR315451_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15108148.0	0.0	101.0	48.0	42.63529188611337	101.0	pass	warn	pass	pass	fail	warn	pass	pass	fail	pass	pass	fail
ERR315455_1	ERR315455_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24323755.0	0.0	101.0	47.0	58.448745117720065	101.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	fail	fail
ERR315455_2	ERR315455_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24323755.0	0.0	101.0	47.0	58.0938770169964	101.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	fail	fail
ERR315463_1	ERR315463_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15370846.0	0.0	101.0	48.0	41.27128719833886	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
ERR315463_2	ERR315463_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15370846.0	0.0	101.0	48.0	42.78382776213239	101.0	pass	warn	pass	pass	fail	warn	pass	pass	fail	pass	pass	fail
ERR315476_1	ERR315476_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14649029.0	0.0	101.0	48.0	58.5693780267749	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail	fail
ERR315476_2	ERR315476_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14649029.0	0.0	101.0	48.0	59.45028411815768	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail	fail
ERR315477_1	ERR315477_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28466648.0	0.0	101.0	47.0	59.695108229411545	101.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	fail	fail
ERR315477_2	ERR315477_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28466648.0	0.0	101.0	47.0	59.80447270279411	101.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	fail	fail
ERR315478_1	ERR315478_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14906214.0	0.0	101.0	48.0	58.10568719099551	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	fail	fail
ERR315478_2	ERR315478_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14906214.0	0.0	101.0	48.0	59.404665066367855	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass	fail	fail
ERR315487_1	ERR315487_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13669047.0	0.0	101.0	49.0	52.960849236580366	101.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	fail	fail
ERR315487_2	ERR315487_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13669047.0	0.0	101.0	49.0	55.35458284660889	101.0	pass	pass	fail	pass	fail	warn	pass	pass	warn	pass	fail	fail
ERR315490_1	ERR315490_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7445571.0	0.0	101.0	47.0	65.91139905901102	101.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	fail	pass	fail
ERR315490_2	ERR315490_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7445571.0	0.0	101.0	47.0	68.24567363567272	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass	fail
ERR315495_1	ERR315495_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13084530.0	0.0	101.0	47.0	59.989972409712955	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass	fail
ERR315495_2	ERR315495_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13084530.0	0.0	101.0	47.0	62.07478228275887	101.0	pass	pass	pass	pass	fail	pass	pass	pass	warn	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1	HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51945229.0	0.0	101.0	50.0	41.35820524831581	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50471557.0	0.0	20-101	50.0	41.77237998918865	97.09390732685343	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2	HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51945229.0	0.0	101.0	50.0	41.63378299332437	101.0	pass	warn	fail	pass	fail	pass	pass	pass	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM063_CGATGT_L001_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50471557.0	0.0	20-101	50.0	49.879479710688635	94.72654572554598	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1	HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33950855.0	0.0	101.0	51.0	43.33293677262036	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32899019.0	0.0	20-101	51.0	43.49915654094962	97.44945264173379	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2	HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33950855.0	0.0	101.0	51.0	44.232710844841634	101.0	pass	fail	fail	pass	fail	warn	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM064_CAGATC_L001_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32899019.0	0.0	20-101	51.0	51.00756755690088	95.00062874215186	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1	HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69462070.0	0.0	101.0	50.0	39.27629090059266	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67414992.0	0.0	20-101	50.0	39.38519008015003	97.36641502531069	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2	HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69462070.0	0.0	101.0	51.0	39.85897185095457	101.0	pass	warn	fail	pass	fail	pass	pass	pass	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM065_GTGAAA_L001_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	67414992.0	0.0	20-101	50.0	47.73384711154381	95.00476140381356	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1	HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60339006.0	0.0	101.0	50.0	40.503012145152255	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1_val_1	HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58016047.0	0.0	20-101	50.0	40.773635013009205	97.04535560652728	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2	HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60339006.0	0.0	101.0	51.0	41.285132178499104	101.0	pass	fail	fail	pass	fail	pass	fail	pass	fail	warn	pass	fail
HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2_val_2	HS002-PE-R00059_BD0U5YACXX.RHM066_CGATGT_L002_R2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	58016047.0	0.0	20-93	50.0	65.88514091399666	71.02637992554025	pass	fail	fail	pass	fail	pass	pass	warn	warn	pass	pass	warn
